account,classification,trades,total_pnl,avg_pnl,win_rate,avg_trade_size
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Greed,3398,36566.483324,10.761178141259565,0.3507945850500294,490.628555032372
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Neutral,656,4029.241688,6.142136719512195,0.43902439024390244,474.19975609756096
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Extreme Fear,986,166696.399486,169.06328548275863,0.3093306288032454,10589.94378296146
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Extreme Greed,167,20496.054182,122.73086336526946,0.3592814371257485,5260.990299401197
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Fear,1396,296781.722858,212.59435734813755,0.40902578796561606,13057.168868194842
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Greed,1135,96392.783186,84.9275622784141,0.5955947136563877,5601.335788546256
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Neutral,672,97380.090931,144.91084959970237,0.7529761904761905,5457.3741666666665
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Fear,371,74346.546606,200.39500432884097,0.42857142857142855,25119.228652291105
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,2446,129217.68646,52.82816290269828,0.3336058871627146,18714.972399836468
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Fear,1156,-19126.158064,-16.54511943252595,0.3555363321799308,15510.035536332178
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,2334,79023.471493,33.857528488860325,0.34361610968294776,14903.147896315337
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Neutral,1277,45514.323221,35.64160001644479,0.4267815191855912,17120.53617071261
0x513b8629fe877bb581bf244e326a047b249c4ff1,Extreme Fear,346,-71121.820704,-205.5543950982659,0.30346820809248554,9644.015086705202
0x513b8629fe877bb581bf244e326a047b249c4ff1,Extreme Greed,223,0.0,0.0,0.0,3261.5788789237668
0x513b8629fe877bb581bf244e326a047b249c4ff1,Fear,5981,367166.216924,61.388767250292595,0.3705066042467815,37633.67887644207
0x513b8629fe877bb581bf244e326a047b249c4ff1,Greed,3169,163047.664946,51.450825164405174,0.376459450930893,38497.727718523194
0x513b8629fe877bb581bf244e326a047b249c4ff1,Neutral,2517,381330.49405,151.50198412793006,0.5542312276519666,27702.0510727056
